,Location,Price,Size,Rooms,Bathrooms,link
261,El Castillo - Cali,$346.000.000,"108,24m²",3ha.,2ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/violetas-del-castillo/el-castillo/cali/6724706
262,El Castillo - Cali,$514.500.000,"145,62m²",3ha.,2ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/violetas-del-castillo/el-castillo/cali/6724706
263,vereda canelon - Cajicá,$312.959.050,"81,1m²",3ha.,2ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/terrasabana/vereda-canelon/cajica/2859397
264,vereda chuntame - Cajicá,$935.000.000,"176,8m²",3ha.,4ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/trazo./vereda-chuntame/cajica/6707487
265,vereda chuntame - Cajicá,$735.490.000,"147,7m²",3ha.,4ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/trazo./vereda-chuntame/cajica/6707487
266,Calera Gardens - La Calera,$170.000.000,50m²,3ha.,1ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/entrebosques-v/calera-gardens/la-calera/5379537
267,Calera Gardens - La Calera,$539.400.000,102m²,3ha.,3ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/verdemonte/calera-gardens/la-calera/6496172
268,vereda canelon - Cajicá,$392.999.375,"95,85m²",3ha.,3ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/terrasabana/vereda-canelon/cajica/2859397
269,Chapinero Central - Bogotá,$373.152.640,"52,16m²",2ha.,2ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/portal-40/chapinero-central/bogota/6783854
270,Chapinero Central - Bogotá,$157.200.000,"21,2m²",1ha.,1ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/oikos-infinitum-58/chapinero-central/bogota/6677780
271,Los Cristales - Cali,$486.240.000,"83,52m²",2ha.,3ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/cristales-west/los-cristales/cali/3242869
272,Los Cristales - Cali,$588.089.000,"101,86m²",2ha.,4ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/cristales-west/los-cristales/cali/3242869
273,Los Cristales - Cali,$496.976.000,"83,52m²",2ha.,3ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/cristales-west/los-cristales/cali/3242869
274,Calera Gardens - La Calera,$255.370.000,"47,8m²",1ha.,2ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/verdemonte/calera-gardens/la-calera/6496172
275,Calera Gardens - La Calera,$413.720.000,79m²,3ha.,2ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/verdemonte/calera-gardens/la-calera/6496172
276,Calera Gardens - La Calera,$386.040.000,"78,3m²",3ha.,2ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/verdemonte/calera-gardens/la-calera/6496172
277,vereda canelon - Cajicá,$392.999.375,"95,85m²",3ha.,3ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/terrasabana/vereda-canelon/cajica/2859397
278,La Ceja - La Ceja,$721.885.386,"137,1m²",3ha.,4ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/antigua-casas/la-ceja/la-ceja/6672874
279,Los Cristales - Cali,$496.976.000,"83,52m²",2ha.,3ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/cristales-west/los-cristales/cali/3242869
280,Los Cristales - Cali,$486.240.000,"83,52m²",2ha.,3ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/cristales-west/los-cristales/cali/3242869
281,Los Cristales - Cali,$588.089.000,"101,86m²",2ha.,4ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/cristales-west/los-cristales/cali/3242869
282,Los Cristales - Cali,$596.509.000,"101,86m²",2ha.,4ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/cristales-west/los-cristales/cali/3242869
283,Chapinero Central - Bogotá,$157.200.000,"21,2m²",1ha.,1ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/oikos-infinitum-58/chapinero-central/bogota/6677780
284,Chapinero Central - Bogotá,$373.152.640,"52,16m²",2ha.,2ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/portal-40/chapinero-central/bogota/6783854
